,City,State,Type,Population [2011],Sex Ratio,Median Age,Avg Temp,SWM,Toilets Avl,Water Purity,H Index,Female Population,# of hospitals,Foreign Visitors,Covid Cases
18,Visakhapatnam,Andhra Pradesh,MPUA,1728128.0,891.0,26.0,26.0,HIGH,119.0,125.0,0.6415010499054292,1539762.0,51.0,237854.0,21374
19,Pimpri-Chinchwad,Maharashtra,MPUA,1727692.0,872.0,26.0,36.0,HIGH,108.0,195.0,0.4383296582874079,1506547.0,93.0,4408916.0,24402
20,Patna,Bihar,MPUA,1684222.0,925.0,26.0,34.0,LOW,142.0,117.0,0.3775618519842946,1557905.0,62.0,923737.0,23610
21,Vadodara,Gujarat,MPUA,1670806.0,840.0,26.0,29.0,LOW,112.0,156.0,0.26321946527315476,1403477.0,91.0,284973.0,9439
22,Ghaziabad,Uttar Pradesh,MPUA,1648643.0,872.0,26.0,36.0,MEDIUM,122.0,155.0,0.8522127090500631,1437617.0,72.0,3104060.0,10219
23,Ludhiana,Punjab,MPUA,1618879.0,869.0,25.0,28.0,HIGH,131.0,180.0,0.5565100549146356,1406806.0,73.0,242367.0,12847
24,Agra,Uttar Pradesh,MPUA,1585704.0,875.0,25.0,34.0,LOW,124.0,115.0,0.15253387738416335,1387491.0,99.0,3104060.0,3834
25,Nashik,Maharashtra,MPUA,1486053.0,872.0,23.0,36.0,HIGH,122.0,170.0,0.17258441038043193,1295838.0,66.0,4408916.0,50341
26,Ranchi,Jharkhand,MPUA,1456528.0,895.0,29.0,29.0,MEDIUM,144.0,134.0,0.541507059581607,1303593.0,59.0,167785.0,12365
27,Faridabad,Haryana,MPUA,1414050.0,842.0,27.0,32.0,LOW,127.0,200.0,0.3262064284843065,1190630.0,59.0,303118.0,15003
28,Meerut,Uttar Pradesh,MPUA,1305429.0,889.0,29.0,25.0,HIGH,100.0,150.5082508250825,0.4988285623183961,1160526.381,42.0,1474969.0,6092
29,Rajkot,Gujarat,MPUA,1286678.0,848.0,23.0,28.0,HIGH,129.0,150.5082508250825,0.4988285623183961,1091102.9440000001,42.0,1474969.0,6250
30,Kalyan-Dombivli,Maharashtra,MPUA,1247327.0,871.0,23.0,38.0,LOW,144.0,150.5082508250825,0.4988285623183961,1086421.817,42.0,1474969.0,20018
31,Vasai-Virar,Maharashtra,MPUA,1222390.0,876.0,23.0,33.0,HIGH,140.0,150.5082508250825,0.4988285623183961,1070813.6400000001,42.0,1474969.0,20133
32,Varanasi,Uttar Pradesh,MPUA,1201815.0,861.0,25.0,36.0,MEDIUM,121.0,150.5082508250825,0.4988285623183961,1034762.7150000001,42.0,1474969.0,10287
33,Srinagar,Jammu and Kashmir,MPUA,1180570.0,905.0,23.0,15.0,LOW,115.0,150.5082508250825,0.4988285623183961,1068415.8499999999,42.0,1474969.0,11243
34,Aurangabad,Maharashtra,MPUA,1175116.0,887.0,26.0,40.0,HIGH,139.0,150.5082508250825,0.4988285623183961,1042327.892,42.0,1474969.0,3201
35,Dhanbad,Jharkhand,MPUA,1162472.0,910.0,28.0,38.0,LOW,145.0,150.5082508250825,0.4988285623183961,1057849.52,42.0,1474969.0,3702
36,Amritsar,Punjab,MPUA,1132383.0,869.0,24.0,34.0,LOW,111.0,129.0,0.1416958495201055,984041.0,62.0,242367.0,5840
37,Navi Mumbai,Maharashtra,MPUA,1120547.0,880.0,26.0,36.0,LOW,114.0,163.0,0.39927080884456034,986081.0,87.0,4408916.0,22861
38,Allahabad,Uttar Pradesh,MPUA,1112544.0,876.0,28.0,26.0,HIGH,150.0,118.0,0.9440105394300963,974589.0,75.0,3104060.0,24507
39,Howrah,West Bengal,MPUA,1077075.0,954.0,23.0,39.0,LOW,117.0,114.0,0.7312336495679279,1027530.0,54.0,1489500.0,14726
40,Gwalior,Madhya Pradesh,MPUA,1069276.0,925.0,28.0,39.0,LOW,116.0,197.0,0.961352236598199,989080.0,68.0,421365.0,7089
41,Jabalpur,Madhya Pradesh,MPUA,1055525.0,920.0,29.0,27.0,LOW,138.0,106.0,0.005168423714689285,971083.0,74.0,421365.0,5683
42,Coimbatore,Tamil Nadu,MPUA,1050721.0,917.0,28.0,34.0,HIGH,124.0,156.0,0.5025601272432719,963511.0,69.0,4684707.0,20839
43,Vijayawada,Andhra Pradesh,MPUA,1034358.0,914.0,23.0,37.0,LOW,104.0,117.0,0.622070603032492,945403.0,65.0,237854.0,21005
44,Jodhpur,Rajasthan,MPUA,1033918.0,873.0,24.0,27.0,MEDIUM,124.0,174.0,0.592847813629076,902610.0,76.0,1475311.0,14249
45,Chandigarh,Chandigarh,MPUA,1028667.0,818.0,25.0,30.0,LOW,147.0,126.0,0.05571844887546751,841450.0,56.0,29538.0,7292
46,Madurai,Tamil Nadu,MPUA,1844209.0,901.0,25.0,32.0,LOW,131.0,119.0,0.695843370573987,917096.0,89.0,4684707.0,15118
47,Raipur,Chhattisgarh,MPUA,1482227.0,970.0,29.0,29.0,MEDIUM,113.0,200.0,0.7523013055222152,979784.0,60.0,6394.0,19525
48,Guwahati,Assam,CT,962334.0,887.0,29.0,5.0,LOW,102.0,141.0,0.16874087177249097,849171.0,50.0,24720.0,10280
49,Solapur,Maharashtra,CT,1398439.0,873.0,25.0,26.0,HIGH,146.0,189.0,0.6284177166225602,830710.0,96.0,4408916.0,25127
50,Hubli–Dharwad,Karnataka,CT,1847023.0,940.0,29.0,32.0,MEDIUM,117.0,153.0,0.6752039360618094,887161.0,86.0,636502.0,10895
51,Mysore,Karnataka,CT,1238332.0,924.0,27.0,37.0,MEDIUM,149.0,147.0,0.9991392004064421,850588.0,52.0,636502.0,9971
52,Tiruchirappalli,Tamil Nadu,CT,1336849.0,915.0,27.0,30.0,MEDIUM,141.0,155.0,0.6018286575367688,838757.0,51.0,4684707.0,8540
53,Bareilly,Uttar Pradesh,CT,1562495.0,880.0,25.0,39.0,HIGH,116.0,192.0,0.1331697270606892,790387.0,61.0,3104060.0,8139
54,Aurangabad,Maharashtra,MCl,892483.0,877.0,28.0,30.0,MEDIUM,123.0,149.0,0.18161670975782562,782708.0,63.0,4408916.0,3201
55,Aligarh,Uttar Pradesh,CT,889810.0,881.0,24.0,36.0,HIGH,144.0,123.0,0.5346039919117227,783923.0,80.0,3104060.0,6031
56,Tiruppur,Tamil Nadu,CT,877778.0,913.0,28.0,31.0,HIGH,113.0,150.5082508250825,0.4988285623183961,801411.314,86.0,4684707.0,4066
57,Gurgaon,Haryana,CT,876824.0,823.0,29.0,31.0,LOW,149.0,150.5082508250825,0.4988285623183961,721626.152,63.0,303118.0,9537
58,Moradabad,Uttar Pradesh,CT,872575.0,883.0,28.0,31.0,HIGH,132.0,150.5082508250825,0.4988285623183961,770483.7250000001,55.0,3104060.0,6480
59,Jalandhar,Punjab,CT,862196.0,884.0,25.0,31.0,MEDIUM,146.0,150.5082508250825,0.4988285623183961,762181.264,87.0,242367.0,8783
60,Bhubaneswar,Odisha,CT,837737.0,946.0,28.0,31.0,MEDIUM,148.0,150.5082508250825,0.4988285623183961,792499.2019999999,74.0,66971.0,10586
61,Salem,Tamil Nadu,CT,831038.0,906.0,23.0,27.0,HIGH,128.0,150.5082508250825,0.4988285623183961,752920.428,61.0,4684707.0,13590
62,Warangal,Telangana,CT,830281.0,929.0,24.0,39.0,LOW,147.0,150.5082508250825,0.4988285623183961,771331.049,74.0,126078.0,8911
63,Mira-Bhayandar,Maharashtra,CT,814655.0,880.0,24.0,26.0,LOW,116.0,150.5082508250825,0.4988285623183961,716896.4,70.0,4408916.0,8440
64,Jalgaon,Maharashtra,CT,798514.0,882.0,27.0,33.0,LOW,147.0,150.5082508250825,0.4988285623183961,704289.348,54.0,4408916.0,34227
65,Kota,Rajasthan,CT,743556.0,853.0,29.0,25.0,MEDIUM,132.0,150.5082508250825,0.4988285623183961,634253.268,56.0,1475311.0,7067
66,Guntur,Andhra Pradesh,CT,743354.0,915.0,28.0,34.0,MEDIUM,108.0,150.5082508250825,0.4988285623183961,680168.91,56.0,237854.0,10239
67,Bhiwandi,Maharashtra,CT,711329.0,869.0,29.0,40.0,MEDIUM,112.0,150.5082508250825,0.4988285623183961,618144.901,63.0,4408916.0,10071
68,Saharanpur,Uttar Pradesh,CT,703345.0,890.0,24.0,39.0,LOW,120.0,150.5082508250825,0.4988285623183961,625977.05,82.0,3104060.0,5514
69,Gorakhpur,Uttar Pradesh,CT,671048.0,880.0,26.0,31.0,HIGH,150.0,150.5082508250825,0.4988285623183961,590522.24,63.0,3104060.0,12294
70,Bikaner,Rajasthan,CT,647804.0,877.0,24.0,26.0,HIGH,123.0,161.0,0.2575571195980798,568124.0,51.0,1475311.0,5054
71,Amravati,Maharashtra,CT,646801.0,878.0,25.0,34.0,LOW,102.0,176.0,0.8706809551931279,567891.0,78.0,4408916.0,7172
72,Noida,Uttar Pradesh,CT,642381.0,885.0,25.0,25.0,LOW,114.0,108.0,0.6158574628092415,568507.0,77.0,3104060.0,8842
73,Jamshedpur,Jharkhand,CT,631364.0,900.0,27.0,29.0,HIGH,140.0,132.0,0.3597997249358189,568228.0,63.0,167785.0,9711
74,Bhilai,Chhattisgarh,CT,625697.0,957.0,24.0,32.0,HIGH,125.0,198.0,0.0030743436420811454,598792.0,78.0,6394.0,9179
75,Cuttack,Odisha,CT,606007.0,954.0,23.0,38.0,MEDIUM,133.0,149.0,0.024414489750478885,578131.0,85.0,66971.0,12265
76,Firozabad,Uttar Pradesh,CT,603797.0,865.0,28.0,33.0,MEDIUM,135.0,158.0,0.575803058426045,522284.0,59.0,3104060.0,1996
77,Kochi,Kerala,CT,601574.0,971.0,29.0,31.0,LOW,140.0,177.0,0.40189350129864376,584128.0,50.0,977479.0,11254
78,Nellore,Andhra Pradesh,CT,600869.0,906.0,25.0,33.0,MEDIUM,133.0,107.0,0.2721638277638122,544387.0,53.0,237854.0,9052
79,Bhavnagar,Gujarat,CT,593768.0,846.0,24.0,28.0,LOW,117.0,166.0,0.6792644647078715,502328.0,81.0,284973.0,3317
80,Dehradun,Uttarakhand,CT,578420.0,835.0,25.0,6.0,LOW,111.0,184.0,0.2649850857851832,482981.0,91.0,105882.0,6391
81,Durgapur,West Bengal,CT,566937.0,958.0,25.0,26.0,MEDIUM,130.0,150.0,0.4805554668084677,543126.0,54.0,1489500.0,9572
82,Asansol,West Bengal,CT,564491.0,955.0,28.0,26.0,LOW,133.0,125.0,0.8821825983299674,539089.0,71.0,1489500.0,10687
83,Rourkela,Odisha,CT,552734.0,953.0,29.0,27.0,LOW,109.0,181.0,0.45682543234637707,526756.0,77.0,66971.0,11045
84,Nanded,Maharashtra,CT,550564.0,877.0,28.0,25.0,HIGH,102.0,114.0,0.08890451752371764,482845.0,66.0,4408916.0,10652
85,Kolhapur,Maharashtra,CT,549283.0,891.0,25.0,26.0,HIGH,142.0,191.0,0.8061958676978545,489411.0,84.0,4408916.0,30609
86,Ajmer,Rajasthan,CT,542580.0,860.0,26.0,28.0,LOW,123.0,189.0,0.09948162663606885,466619.0,75.0,1475311.0,4967
87,Akola,Maharashtra,CT,537149.0,879.0,24.0,29.0,HIGH,105.0,107.0,0.09712865897765965,472154.0,77.0,4408916.0,4937
88,Gulbarga,Karnataka,CT,532031.0,922.0,24.0,31.0,LOW,105.0,133.0,0.04014409304078803,490533.0,68.0,636502.0,8843
89,Jamnagar,Gujarat,CT,529308.0,853.0,27.0,28.0,HIGH,131.0,115.0,0.02956973561813314,451500.0,74.0,284973.0,3807
90,Ujjain,Madhya Pradesh,CT,515215.0,925.0,29.0,38.0,MEDIUM,149.0,162.0,0.011545983477404542,476574.0,61.0,421365.0,2095
91,Loni,Uttar Pradesh,CT,512296.0,861.0,28.0,31.0,LOW,107.0,169.0,0.06947097584570994,441087.0,54.0,3104060.0,9634
92,Siliguri,West Bengal,CT,509709.0,957.0,24.0,25.0,HIGH,106.0,102.0,0.29432797217287265,487792.0,74.0,1489500.0,9179
93,Jhansi,Uttar Pradesh,CT,507293.0,869.0,27.0,30.0,MEDIUM,129.0,112.0,0.6425460321304498,440838.0,80.0,3104060.0,5440
94,Ulhasnagar,Maharashtra,CT,506937.0,880.0,28.0,39.0,LOW,123.0,124.0,0.8121264189310601,446105.0,74.0,4408916.0,9846
95,Jammu,Jammu and Kashmir,CT,503690.0,908.0,24.0,10.0,HIGH,145.0,169.0,0.07783128261434158,457351.0,53.0,58568.0,7697
96,Sangli-Miraj & Kupwad,Maharashtra,CT,502697.0,869.0,29.0,30.0,HIGH,146.0,130.0,0.7621123303038305,436844.0,84.0,4408916.0,10070
97,Mangalore,Karnataka,CT,499486.0,931.0,28.0,28.0,HIGH,120.0,102.0,0.018752723879577382,465021.0,52.0,636502.0,10418
98,Erode,Tamil Nadu,CT,498129.0,915.0,23.0,27.0,MEDIUM,140.0,138.0,0.5623578931863212,455788.0,67.0,4684707.0,4205
99,Belgaum,Karnataka,CT,488292.0,952.0,23.0,29.0,HIGH,147.0,172.0,0.3667513694114649,464854.0,100.0,636502.0,8751
100,Ambattur,Tamil Nadu,CT,478134.0,916.0,24.0,37.0,LOW,111.0,185.0,0.9206266541109814,437971.0,78.0,4684707.0,8786
101,Tirunelveli,Tamil Nadu,CT,473637.0,907.0,29.0,32.0,HIGH,110.0,125.0,0.8711374609539839,429589.0,93.0,4684707.0,10774
102,Malegaon,Maharashtra,CT,471006.0,871.0,27.0,26.0,HIGH,123.0,137.0,0.2155429935004578,410246.0,85.0,4408916.0,9398
103,Gaya,Bihar,CT,463454.0,917.0,23.0,30.0,MEDIUM,107.0,170.0,0.558294607923586,424987.0,59.0,923737.0,8429
104,Thiruvananthapuram,Kerala,CT,460468.0,959.0,30.0,29.0,HIGH,104.0,159.0,0.42202878896264084,441589.0,86.0,977479.0,19818
105,Udaipur,Rajasthan,CT,451735.0,877.0,28.0,37.0,LOW,117.0,149.0,0.16146759484141815,396172.0,89.0,1475311.0,2648
106,Kakinada,Andhra Pradesh,CT,443028.0,875.0,29.0,35.0,LOW,103.0,166.0,0.28401013155603294,387650.0,63.0,237854.0,10140
107,Davanagere,Karnataka,CT,435128.0,934.0,25.0,30.0,MEDIUM,112.0,109.0,0.15158238697963777,406410.0,70.0,636502.0,12486
108,Kozhikode,Kerala,CT,432097.0,964.0,29.0,40.0,LOW,135.0,141.0,0.347997166439987,416542.0,52.0,977479.0,7682
109,Maheshtala,West Bengal,CT,429423.0,951.0,25.0,28.0,MEDIUM,111.0,126.0,0.23410148144322473,408381.0,51.0,1489500.0,9502
110,Rajpur Sonarpur,West Bengal,CT,423806.0,957.0,23.0,27.0,LOW,128.0,152.0,0.3199063761358325,405582.0,99.0,1489500.0,8797
111,Rajahmundry,Andhra Pradesh,CT,419818.0,905.0,26.0,35.0,HIGH,145.0,127.0,0.6038403992038005,379935.0,99.0,237854.0,9403
112,Bokaro,Jharkhand,CT,413934.0,891.0,23.0,26.0,HIGH,111.0,131.0,0.1391530518435259,368815.0,91.0,167785.0,2774
113,South Dumdum,West Bengal,CT,410524.0,957.0,23.0,33.0,LOW,110.0,145.0,0.5114874211676678,392871.0,89.0,1489500.0,8797
114,Bellary,Karnataka,CT,409644.0,944.0,26.0,32.0,LOW,137.0,182.0,0.9805470142478572,386704.0,73.0,636502.0,9809
115,Patiala,Punjab,CT,405164.0,886.0,26.0,38.0,MEDIUM,142.0,129.0,0.556825582878836,358975.0,95.0,242367.0,7729
116,Gopalpur,West Bengal,CT,404991.0,950.0,26.0,29.0,MEDIUM,130.0,136.0,0.1617103944717898,384741.0,83.0,1489500.0,9871
117,Agartala,Tripura,CT,399688.0,977.0,28.0,12.0,HIGH,122.0,122.0,0.12140719129739252,390495.0,64.0,34886.0,10933
118,Bhagalpur,Bihar,CT,398138.0,916.0,28.0,38.0,HIGH,143.0,182.0,0.5866169813519839,364694.0,81.0,923737.0,10250
119,Muzaffarnagar,Uttar Pradesh,CT,392451.0,877.0,28.0,26.0,LOW,135.0,122.0,0.8070698759708975,344180.0,66.0,3104060.0,3103
120,Bhatpara,West Bengal,CT,390467.0,959.0,29.0,33.0,LOW,123.0,186.0,0.7271310207796384,374458.0,76.0,1489500.0,11114
121,Panihati,West Bengal,CT,383522.0,947.0,27.0,30.0,LOW,103.0,139.0,0.2751235634933482,363195.0,50.0,1489500.0,10218
122,Latur,Maharashtra,CT,382754.0,870.0,24.0,33.0,LOW,119.0,128.0,0.5089601897507,332996.0,85.0,4408916.0,11510
123,Dhule,Maharashtra,CT,376093.0,889.0,24.0,39.0,HIGH,112.0,176.0,0.33947156218706565,334347.0,54.0,4408916.0,10233
124,Tirupati,Andhra Pradesh,CT,374260.0,890.0,25.0,27.0,HIGH,106.0,141.0,0.26137640256286254,333091.0,58.0,237854.0,8891
125,Rohtak,Haryana,CT,373133.0,846.0,25.0,28.0,MEDIUM,108.0,180.0,0.36581744524661175,315671.0,91.0,303118.0,3798
126,Sagar,Madhya Pradesh,CT,370296.0,912.0,25.0,28.0,LOW,136.0,134.0,0.938754221581496,337710.0,69.0,421365.0,1410
127,Korba,Chhattisgarh,CT,363210.0,973.0,29.0,25.0,LOW,129.0,198.0,0.41620569728595946,353403.0,79.0,6394.0,1285
128,Bhilwara,Rajasthan,CT,360009.0,866.0,26.0,40.0,MEDIUM,145.0,172.0,0.9144217637764788,311768.0,64.0,1475311.0,2458
129,Berhampur,Odisha,CT,355823.0,945.0,27.0,28.0,HIGH,134.0,130.0,0.21377280012327748,336253.0,57.0,66971.0,10197
130,Muzaffarpur,Bihar,CT,351838.0,920.0,29.0,26.0,LOW,139.0,174.0,0.6940191045505455,323691.0,61.0,923737.0,10662
131,Ahmednagar,Maharashtra,CT,350905.0,893.0,27.0,30.0,HIGH,150.0,166.0,0.21402661867195372,313358.0,80.0,4408916.0,26912
132,Mathura,Uttar Pradesh,CT,349336.0,864.0,28.0,33.0,HIGH,118.0,164.0,0.13137889180600926,301826.0,58.0,3104060.0,2976
133,Kollam,Kerala,CT,349033.0,971.0,28.0,29.0,MEDIUM,147.0,134.0,0.6077493331457574,338911.0,57.0,977479.0,6147
134,Avadi,Tamil Nadu,CT,344701.0,923.0,23.0,39.0,LOW,146.0,160.0,0.9956976221608521,318159.0,64.0,4684707.0,8484
135,Kadapa,Andhra Pradesh,CT,343054.0,929.0,27.0,28.0,HIGH,117.0,123.0,0.9076620146726249,318697.0,99.0,237854.0,10024
136,Kamarhati,West Bengal,CT,336579.0,957.0,25.0,32.0,HIGH,148.0,131.0,0.09181869690697064,322106.0,52.0,1489500.0,9561
137,Sambalpur,Odisha,CT,335761.0,947.0,27.0,40.0,LOW,102.0,194.0,0.458369827737674,317966.0,91.0,66971.0,3734
138,Bilaspur,Chhattisgarh,CT,330106.0,966.0,28.0,32.0,LOW,126.0,140.0,0.8965209524543952,318882.0,57.0,6394.0,449
139,Shahjahanpur,Uttar Pradesh,CT,327975.0,885.0,23.0,40.0,LOW,142.0,169.0,0.8102741922752807,290258.0,61.0,3104060.0,4303
140,Satara,Maharashtra,CT,326789.0,870.0,29.0,34.0,LOW,148.0,134.0,0.2826439240031755,284306.0,63.0,4408916.0,21674
141,Bijapur,Karnataka,CT,326360.0,948.0,28.0,37.0,LOW,133.0,183.0,0.11749626889971676,309389.0,96.0,636502.0,10608
142,Kurnool,Andhra Pradesh,CT,325300.0,914.0,27.0,38.0,LOW,140.0,140.0,0.8878957951908888,297324.0,81.0,237854.0,9862
143,Rampur,Uttar Pradesh,CT,325248.0,879.0,27.0,34.0,MEDIUM,121.0,179.0,0.6241772409626707,285893.0,75.0,3104060.0,4172
144,Shimoga,Karnataka,CT,322428.0,953.0,24.0,40.0,MEDIUM,103.0,192.0,0.9640434671430785,307274.0,75.0,636502.0,9141
145,Chandrapur,Maharashtra,CT,321036.0,869.0,28.0,34.0,HIGH,145.0,155.0,0.4828222560776183,278980.0,93.0,4408916.0,4697
146,Junagadh,Gujarat,CT,320250.0,853.0,26.0,26.0,LOW,121.0,150.0,0.09457941447926455,273173.0,82.0,284973.0,2081
147,Thrissur,Kerala,CT,315596.0,966.0,31.0,37.0,HIGH,118.0,126.0,0.21664215289692457,304866.0,62.0,977479.0,6235
148,Alwar,Rajasthan,CT,315310.0,877.0,27.0,33.0,MEDIUM,140.0,173.0,0.8367609379875705,276527.0,59.0,1475311.0,8677
149,Bardhaman,West Bengal,CT,314638.0,961.0,26.0,40.0,LOW,124.0,199.0,0.9068681657125341,302367.0,93.0,1489500.0,9985
150,Kulti,West Bengal,CT,313977.0,947.0,24.0,39.0,HIGH,134.0,130.0,0.7588398120123064,297336.0,59.0,1489500.0,9083
151,Nizamabad,Telangana,CT,310467.0,936.0,23.0,37.0,HIGH,149.0,132.0,0.7995571239296936,290597.0,67.0,126078.0,4424
152,Parbhani,Maharashtra,CT,307191.0,874.0,23.0,33.0,MEDIUM,143.0,128.0,0.09106622217978055,268485.0,87.0,4408916.0,3811
153,Tumkur,Karnataka,CT,305821.0,952.0,27.0,36.0,LOW,113.0,144.0,0.29838505644545354,291141.592,42.0,636502.0,10272
154,Khammam,Telangana,CT,305000.0,922.0,24.0,28.0,HIGH,134.0,172.0,0.45365000896501206,281210.0,42.0,126078.0,4316
155,Hisar,Haryana,M.Corp,301249.0,824.0,25.0,31.0,HIGH,109.0,151.0,0.36173606642165657,248229.176,42.0,303118.0,3315
156,Ozhukarai,Puducherry,CT,300028.0,1031.0,28.0,26.0,LOW,117.0,121.0,0.11225888869597744,309328.868,42.0,106153.0,11537
157,Bihar Sharif,Bihar,CT,296889.0,927.0,26.0,25.0,LOW,108.0,125.0,0.5173939795383127,275216.103,42.0,923737.0,9632
158,Panipat,Haryana,CT,294150.0,829.0,27.0,29.0,LOW,119.0,146.0,0.7325777449029552,243850.0,64.0,303118.0,5255
159,Darbhanga,Bihar,CT,294116.0,914.0,25.0,29.0,LOW,150.0,115.0,0.5447799746202421,268822.0,54.0,923737.0,9131
160,Bally,West Bengal,CT,291972.0,961.0,23.0,34.0,LOW,113.0,135.0,0.2133922954382288,280585.0,64.0,1489500.0,8833
161,Aizawl,Mizoram,CT,291822.0,975.0,28.0,12.0,LOW,103.0,106.0,0.7259495680402198,284526.0,73.0,798.0,887
162,Dewas,Madhya Pradesh,CT,289438.0,916.0,27.0,37.0,LOW,107.0,152.0,0.009473836927817114,265125.0,79.0,421365.0,877
163,Ichalkaranji,Maharashtra,CT,287570.0,888.0,24.0,26.0,MEDIUM,137.0,166.0,0.9382620638417646,255362.0,88.0,4408916.0,8517
164,Karnal,Haryana,CT,286974.0,820.0,25.0,34.0,HIGH,150.0,173.0,0.3387574473046149,235319.0,83.0,1474969.0,4738
165,Bathinda,Punjab,CT,285813.0,875.0,26.0,31.0,LOW,138.0,152.0,0.736867736317167,250086.0,60.0,1474969.0,3630
166,Jalna,Maharashtra,CT,285349.0,871.0,29.0,32.0,MEDIUM,149.0,107.0,0.3321620400152938,248539.0,86.0,1474969.0,5595
167,Eluru,Andhra Pradesh,CT,283648.0,911.0,26.0,37.0,LOW,129.0,195.0,0.3658065057466088,258403.0,62.0,1474969.0,9465
168,Barasat,West Bengal,CT,283443.0,945.0,24.0,40.0,MEDIUM,141.0,172.0,0.3522189906678669,267854.0,73.0,1474969.0,9064
169,Kirari Suleman Nagar,Delhi,CT,282598.0,866.0,27.0,40.0,MEDIUM,105.0,103.0,0.8670029534114781,244730.0,57.0,1474969.0,9343
170,Purnia,Bihar,CT,280547.0,929.0,24.0,34.0,MEDIUM,123.0,170.0,0.8633917867259471,260628.0,51.0,1474969.0,8910
171,Satna,Madhya Pradesh,CT,280248.0,921.0,25.0,40.0,HIGH,116.0,185.0,0.8401186754819645,258108.0,99.0,1474969.0,759
172,Mau,Uttar Pradesh,CT,279060.0,890.0,29.0,35.0,LOW,139.0,117.0,0.48364136746700326,248363.0,60.0,1474969.0,1958
173,Sonipat,Haryana,CT,277053.0,827.0,29.0,38.0,MEDIUM,116.0,131.0,0.06725917639524481,229123.0,86.0,1474969.0,5498
174,Farrukhabad,Uttar Pradesh,CT,275750.0,890.0,24.0,28.0,LOW,117.0,114.0,0.3426864394997443,245418.0,77.0,1474969.0,1652
175,Durg,Chhattisgarh,CT,268679.0,950.0,27.0,39.0,HIGH,115.0,135.0,0.12924485344554248,255245.0,92.0,1474969.0,10251
176,Imphal,Manipur,CT,264986.0,981.0,27.0,9.0,HIGH,150.0,101.0,0.2922174082936462,259951.0,80.0,1474969.0,10585
177,Ratlam,Madhya Pradesh,CT,264810.0,914.0,25.0,32.0,MEDIUM,137.0,125.0,0.5148645361710211,242036.0,73.0,1474969.0,1387
178,Hapur,Uttar Pradesh,CT,262801.0,867.0,23.0,33.0,HIGH,150.0,105.0,0.9506704829598607,227848.0,66.0,1474969.0,2040
